params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.484,0.072,13
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.484,0.072,13
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.526,0.051,6
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.526,0.051,6
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.506,0.087,10
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.495,0.039,12
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.561,0.106,2
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.516,0.055,8
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.474,0.096,15
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.452,0.087,16
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.506,0.099,9
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.506,0.089,10
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.529,0.095,4
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.528,0.052,5
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.593,0.08,1
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.549,0.047,3
