model,seed,accuracy,pvalue
RandomForest,2023,0.55,0.59406
GradientBoosting,2023,0.55,0.46535
KNN,2023,0.63,0.42574
RandomForest,42,0.67,0.15842
GradientBoosting,42,0.63,0.27723
KNN,42,0.59,0.50495
RandomForest,31415,0.63,0.31683
GradientBoosting,31415,0.63,0.26733
KNN,31415,0.58,0.77228
RandomForest,98765,0.64,0.17822
GradientBoosting,98765,0.68,0.10891
KNN,98765,0.63,0.41584
RandomForest,123,0.58,0.42574
GradientBoosting,123,0.66,0.14851
KNN,123,0.58,0.66337
