,accuracy,accuracy,precision,precision,recall,recall,f1,f1,auc_roc,auc_roc
,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,
GradientBoosting,0.652,0.11,0.656,0.116,0.645,0.111,0.642,0.112,0.7,0.182
KNN,0.607,0.093,0.607,0.097,0.604,0.092,0.602,0.093,0.673,0.115
RandomForest,0.675,0.129,0.679,0.131,0.67,0.128,0.668,0.128,0.699,0.154
