fold,accuracy,precision,recall,f1,auc
1,0.583,0.583,0.583,0.583,0.6
2,0.652,0.425,0.652,0.515,0.442
3,0.609,0.371,0.609,0.461,0.468
4,0.609,0.371,0.609,0.461,0.627
5,0.609,0.371,0.609,0.461,0.429
