params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.547,0.174,3
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.557,0.19,1
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.504,0.14,14
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.536,0.154,7
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.525,0.153,10
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.525,0.161,11
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.503,0.164,16
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.557,0.184,1
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.505,0.161,13
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.536,0.18,8
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.535,0.174,9
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.546,0.137,4
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.525,0.123,11
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.546,0.141,6
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.504,0.135,14
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.546,0.158,5
