fold,accuracy,precision,recall,f1,auc
1,0.556,0.309,0.556,0.397,0.0
2,0.556,0.309,0.556,0.397,0.0
3,0.538,0.29,0.538,0.377,0.0
4,0.538,0.29,0.538,0.377,0.0
5,0.538,0.29,0.538,0.377,0.0
