outer_fold,model,dataset,accuracy,precision,recall,f1,auc_roc,best_params
1,GradientBoosting,networks,0.524,0.481,0.486,0.464,0.546,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}"
2,GradientBoosting,networks,0.762,0.783,0.736,0.741,0.764,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}"
3,GradientBoosting,networks,0.571,0.568,0.569,0.568,0.565,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}"
4,GradientBoosting,networks,0.762,0.759,0.764,0.76,0.824,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}"
5,GradientBoosting,networks,0.65,0.657,0.583,0.561,0.74,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}"
