params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.64,0.105,3
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.619,0.108,10
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.619,0.127,9
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.597,0.153,16
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.618,0.142,11
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.607,0.185,13
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.629,0.077,6
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.606,0.166,15
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.629,0.132,8
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.607,0.141,14
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.661,0.165,1
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.608,0.179,12
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.64,0.146,4
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.639,0.17,5
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.651,0.08,2
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.629,0.168,7
