outer_fold,model,dataset,accuracy,precision,recall,f1,auc_roc,best_params
1,RandomForest,networks,0.375,0.312,0.322,0.317,0.359,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}"
2,RandomForest,networks,0.478,0.512,0.512,0.477,0.567,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}"
3,RandomForest,networks,0.609,0.574,0.56,0.555,0.706,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}"
4,RandomForest,networks,0.739,0.85,0.667,0.662,0.603,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}"
5,RandomForest,networks,0.609,0.574,0.56,0.555,0.587,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}"
