comparison,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std
AD_CBS,GradientBoosting,0.561,0.058,0.525,0.076,0.507,0.041,0.495,0.031,0.557,0.112
AD_CBS,KNN,0.613,0.113,0.586,0.141,0.549,0.105,0.534,0.118,0.575,0.12
AD_CBS,RandomForest,0.562,0.139,0.564,0.192,0.524,0.126,0.513,0.128,0.565,0.127
