dataset,groups,model,n_perms,true_score,p_value,perm_scores_mean,perm_scores_std
networks,AD–CBS,RandomForest,1000,0.571,0.374,0.560,0.050
networks,AD–CBS,GradientBoosting,1000,0.604,0.285,0.586,0.039
networks,AD–CBS,KNN,1000,0.587,0.376,0.572,0.045
