,accuracy,accuracy,precision,precision,recall,recall,f1,f1,auc_roc,auc_roc
,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,
GradientBoosting,0.561,0.058,0.525,0.076,0.507,0.041,0.495,0.031,0.557,0.112
KNN,0.578,0.047,0.492,0.125,0.519,0.054,0.496,0.087,0.595,0.083
RandomForest,0.562,0.139,0.564,0.192,0.524,0.126,0.513,0.128,0.565,0.127
