comparison,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std
AD_CBS,alexnet,0.612,0.022,0.424,0.082,0.612,0.022,0.496,0.048,0.513,0.083
AD_CBS,resnet,0.629,0.034,0.6,0.137,0.629,0.034,0.571,0.063,0.568,0.056
AD_CBS,vgg16,0.621,0.017,0.385,0.021,0.621,0.017,0.476,0.021,0.427,0.071
AD_CBS,resnet,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,
