params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.526,0.065,7
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.484,0.028,14
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.56,0.059,1
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.516,0.028,8
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.527,0.09,4
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.516,0.068,9
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.527,0.046,4
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.516,0.036,10
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.537,0.05,3
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.505,0.068,12
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.539,0.067,2
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.484,0.05,13
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.527,0.101,4
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.484,0.028,14
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.506,0.063,11
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.473,0.038,16
