fold,accuracy,precision,recall,f1,auc
1,0.704,0.741,0.704,0.679,0.878
2,0.481,0.497,0.481,0.479,0.467
3,0.692,0.701,0.692,0.692,0.726
4,0.654,0.653,0.654,0.652,0.661
5,0.654,0.67,0.654,0.635,0.869
