model,seed,accuracy,pvalue
RandomForest,123,0.58,0.43564
GradientBoosting,123,0.66,0.13861
KNN,123,0.58,0.66337
RandomForest,123,0.58,0.41584
GradientBoosting,123,0.66,0.13861
KNN,123,0.58,0.66337
RandomForest,123,0.58,0.49505
GradientBoosting,123,0.66,0.15842
KNN,123,0.58,0.66337
RandomForest,123,0.58,0.41584
GradientBoosting,123,0.66,0.13861
KNN,123,0.58,0.66337
