params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.609,0.116,6
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.609,0.128,7
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.619,0.185,4
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.598,0.167,9
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.553,0.157,16
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.575,0.186,15
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.596,0.119,13
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.596,0.155,13
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.608,0.121,8
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.596,0.133,12
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.661,0.187,1
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.64,0.161,2
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.619,0.138,3
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.597,0.145,10
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.619,0.117,4
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.597,0.159,10
