dataset,groups,model,n_perms,true_score,p_value,perm_scores_mean,perm_scores_std
voxel,ADvsPSP,KNN,100,0.682,0.01,0.518,0.05
voxel,ADvsPSP,GradientBoosting,100,0.614,0.04,0.5,0.054
voxel,ADvsPSP,RandomForest,100,0.629,0.02,0.512,0.055
