Unnamed: 0,accuracy,accuracy.1,precision,precision.1,recall,recall.1,f1,f1.1,auc_roc,auc_roc.1
GradientBoosting,0.569,0.092,0.568,0.088,0.570,0.078,0.560,0.099,0.616,0.136
KNN,0.675,0.073,0.680,0.071,0.676,0.066,0.672,0.071,0.697,0.094
RandomForest,0.676,0.103,0.691,0.124,0.669,0.096,0.668,0.097,0.679,0.114
