groups,model,n_perms,true_score,p_value,perm_scores_mean,perm_scores_std,dataset,mean_perm_score
ADvsPSP,KNN,100,0.682,0.01,0.518,0.05,,
ADvsPSP,KNN,1000,0.682,0.002,,,voxel,0.512
ADvsPSP,GradientBoosting,100,0.614,0.04,0.5,0.054,,
ADvsPSP,GradientBoosting,1000,0.668,0.002,,,voxel,0.507
ADvsPSP,RandomForest,100,0.629,0.02,0.512,0.055,,
ADvsPSP,RandomForest,1000,0.727,0.001,,,voxel,0.51
