fold,accuracy,precision,recall,f1,auc
1,0.625,0.391,0.625,0.481,0.348
2,0.652,0.425,0.652,0.515,0.542
3,0.609,0.371,0.609,0.461,0.421
4,0.609,0.371,0.609,0.461,0.464
5,0.609,0.371,0.609,0.461,0.361
