Unnamed: 0,accuracy,accuracy.1,precision,precision.1,recall,recall.1,f1,f1.1,auc_roc,auc_roc.1
GradientBoosting,0.652,0.110,0.656,0.116,0.645,0.111,0.642,0.112,0.700,0.182
KNN,0.614,0.053,0.618,0.052,0.614,0.050,0.609,0.051,0.632,0.068
RandomForest,0.675,0.129,0.679,0.131,0.670,0.128,0.668,0.128,0.699,0.154
