dataset,groups,model,n_perms,true_score,p_value,perm_scores_mean,perm_scores_std
networks,AD–PSP,RandomForest,1000,0.682,0.001,0.511,0.054
networks,AD–PSP,GradientBoosting,1000,0.705,0.001,0.509,0.052
networks,AD–PSP,KNN,1000,0.683,0.001,0.510,0.051
