model,seed,accuracy,pvalue
RandomForest,98765,0.29,0.91089
GradientBoosting,98765,0.39,0.79208
KNN,98765,0.44,0.66337
RandomForest,98765,0.29,0.92079
GradientBoosting,98765,0.39,0.84158
KNN,98765,0.44,0.66337
RandomForest,98765,0.29,0.91089
GradientBoosting,98765,0.39,0.77228
KNN,98765,0.44,0.66337
RandomForest,98765,0.29,0.92079
GradientBoosting,98765,0.39,0.78218
KNN,98765,0.44,0.66337
