dataset,groups,model,n_perms,true_score,p_value,perm_scores_mean,perm_scores_std
voxel,PSPvsCBS,RandomForest,1000,0.568,0.130,0.510,0.052
voxel,PSPvsCBS,GradientBoosting,1000,0.5776190476190476,0.1038961038961039,0.5113557142857142,0.05262380842716237
