params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.548,0.052,14
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.556,0.066,12
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.603,0.061,5
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.632,0.058,2
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.584,0.058,7
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.584,0.04,7
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.632,0.052,1
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.594,0.066,6
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.538,0.055,15
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.565,0.073,11
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.537,0.112,16
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.556,0.116,12
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.613,0.022,3
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.613,0.048,3
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.574,0.103,10
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.584,0.109,9
