fold,accuracy,precision,recall,f1,auc
1,0.571,0.578,0.571,0.573,0.0
2,0.571,0.55,0.571,0.526,0.0
3,0.524,0.524,0.524,0.524,0.0
4,0.333,0.333,0.333,0.333,0.0
5,0.5,0.571,0.5,0.485,0.0
