outer_fold,model,dataset,accuracy,precision,recall,f1,auc_roc,best_params
1,GradientBoosting,networks,0.500,0.467,0.467,0.467,0.433,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}"
2,GradientBoosting,networks,0.522,0.488,0.487,0.487,0.650,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
3,GradientBoosting,networks,0.565,0.506,0.504,0.487,0.639,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}"
4,GradientBoosting,networks,0.652,0.658,0.575,0.549,0.627,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
5,GradientBoosting,networks,0.565,0.506,0.504,0.487,0.437,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}"
