outer_fold,model,dataset,accuracy,precision,recall,f1,auc_roc,best_params
1,GradientBoosting,voxel,0.625,0.575,0.544,0.525,0.481,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}"
2,GradientBoosting,voxel,0.652,0.617,0.617,0.617,0.617,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}"
3,GradientBoosting,voxel,0.609,0.574,0.560,0.555,0.599,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}"
4,GradientBoosting,voxel,0.696,0.685,0.690,0.686,0.786,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}"
5,GradientBoosting,voxel,0.652,0.629,0.615,0.617,0.647,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}"
