params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.554,0.075,9
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.59,0.05,2
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.565,0.069,7
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.541,0.055,13
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.529,0.049,15
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.54,0.101,14
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.565,0.051,5
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.564,0.098,8
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.552,0.093,10
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.576,0.077,3
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.6,0.093,1
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.576,0.066,3
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.565,0.034,5
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.528,0.083,16
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.552,0.093,10
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.551,0.102,12
