outer_fold,model,dataset,accuracy,precision,recall,f1,auc_roc,best_params
1,KNN,voxel,0.630,0.645,0.642,0.629,0.561,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}"
2,KNN,voxel,0.593,0.600,0.600,0.593,0.664,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}"
3,KNN,voxel,0.654,0.652,0.649,0.649,0.699,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}"
4,KNN,voxel,0.731,0.730,0.726,0.727,0.750,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}"
5,KNN,voxel,0.769,0.775,0.762,0.764,0.810,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}"
