params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.588,0.072,10
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.601,0.071,4
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.601,0.09,4
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.588,0.09,10
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.576,0.085,15
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.588,0.09,10
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.576,0.077,15
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.589,0.055,9
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.601,0.09,4
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.637,0.102,1
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.577,0.082,14
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.601,0.071,4
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.612,0.147,2
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.612,0.126,3
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.588,0.108,13
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.6,0.092,8
