outer_fold,model,dataset,accuracy,precision,recall,f1,auc_roc,best_params
1,RandomForest,voxel,0.667,0.642,0.6,0.597,0.685,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
2,RandomForest,voxel,0.478,0.594,0.571,0.469,0.596,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
3,RandomForest,voxel,0.435,0.456,0.456,0.435,0.46,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}"
4,RandomForest,voxel,0.478,0.492,0.492,0.477,0.516,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}"
5,RandomForest,voxel,0.522,0.414,0.448,0.41,0.508,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}"
