model,seed,accuracy,pvalue
RandomForest,2023,0.593,0.24752
GradientBoosting,2023,0.587,0.25743
KNN,2023,0.673,0.0495
RandomForest,2023,0.593,0.25743
GradientBoosting,2023,0.587,0.22772
KNN,2023,0.673,0.0495
RandomForest,2023,0.593,0.21782
GradientBoosting,2023,0.587,0.26733
KNN,2023,0.673,0.0495
RandomForest,2023,0.593,0.26733
GradientBoosting,2023,0.587,0.24752
KNN,2023,0.673,0.0495
