model,seed,accuracy,pvalue
RandomForest,31415,0.633,0.16832
GradientBoosting,31415,0.553,0.39604
KNN,31415,0.64,0.12871
RandomForest,31415,0.633,0.17822
GradientBoosting,31415,0.553,0.35644
KNN,31415,0.64,0.12871
RandomForest,31415,0.633,0.13861
GradientBoosting,31415,0.553,0.36634
KNN,31415,0.64,0.12871
RandomForest,31415,0.633,0.17822
GradientBoosting,31415,0.553,0.41584
KNN,31415,0.64,0.12871
