params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.648,0.124,7
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.648,0.124,7
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.649,0.086,6
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.649,0.094,4
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.613,0.057,12
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.637,0.084,10
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.589,0.079,14
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.624,0.115,11
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.661,0.103,2
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.649,0.108,4
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.662,0.099,1
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.661,0.11,2
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.553,0.069,15
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.612,0.106,13
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.54,0.072,16
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.637,0.102,9
