outer_fold,model,dataset,accuracy,precision,recall,f1,auc_roc,best_params
1,GradientBoosting,voxel,0.571,0.558,0.556,0.555,0.583,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}"
2,GradientBoosting,voxel,0.381,0.356,0.361,0.358,0.426,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}"
3,GradientBoosting,voxel,0.714,0.714,0.694,0.697,0.630,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}"
4,GradientBoosting,voxel,0.524,0.500,0.500,0.495,0.537,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}"
5,GradientBoosting,voxel,0.650,0.641,0.646,0.642,0.656,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}"
