outer_fold,model,dataset,accuracy,precision,recall,f1,auc_roc,best_params
1,RandomForest,voxel,0.593,0.591,0.592,0.590,0.628,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}"
2,RandomForest,voxel,0.556,0.558,0.558,0.555,0.542,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
3,RandomForest,voxel,0.692,0.708,0.679,0.675,0.643,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}"
4,RandomForest,voxel,0.808,0.868,0.792,0.793,0.750,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}"
5,RandomForest,voxel,0.731,0.730,0.726,0.727,0.833,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}"
