params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.571,0.023,10
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.572,0.065,9
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.582,0.107,8
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.631,0.068,3
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.559,0.053,14
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.642,0.059,2
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.5,0.046,16
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.571,0.023,10
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.595,0.047,6
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.584,0.061,7
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.569,0.15,13
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.63,0.073,4
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.57,0.088,12
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.654,0.074,1
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.511,0.052,15
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.618,0.052,5
