,accuracy,accuracy,precision,precision,recall,recall,f1,f1,auc_roc,auc_roc
,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,
GradientBoosting,0.598,0.108,0.612,0.119,0.597,0.107,0.588,0.105,0.541,0.176
KNN,0.652,0.066,0.654,0.066,0.651,0.064,0.648,0.065,0.685,0.037
RandomForest,0.591,0.139,0.606,0.148,0.586,0.132,0.579,0.132,0.629,0.146
