params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.607,0.178,11
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.64,0.148,4
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.664,0.144,2
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.674,0.143,1
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.565,0.154,14
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.63,0.157,5
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.553,0.149,16
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.596,0.129,12
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.629,0.172,7
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.652,0.136,3
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.62,0.143,9
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.629,0.163,7
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.618,0.159,10
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.63,0.153,6
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.564,0.166,15
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.586,0.132,13
