params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.558,0.045,12
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.569,0.093,9
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.581,0.069,6
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.58,0.08,7
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.549,0.04,13
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.537,0.057,14
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.592,0.051,3
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.591,0.074,4
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.591,0.054,4
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.601,0.05,2
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.623,0.063,1
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.568,0.107,10
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.527,0.038,15
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.526,0.084,16
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.571,0.052,8
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.559,0.04,11
