model,seed,accuracy,pvalue
RandomForest,2023,0.72,0.0297
GradientBoosting,2023,0.71,0.10891
KNN,2023,0.72,0.0495
RandomForest,42,0.57,0.30693
GradientBoosting,42,0.7,0.0396
KNN,42,0.53,0.45545
RandomForest,31415,0.72,0.0495
GradientBoosting,31415,0.71,0.0495
KNN,31415,0.76,0.0396
RandomForest,98765,0.29,0.91089
GradientBoosting,98765,0.39,0.80198
KNN,98765,0.44,0.66337
RandomForest,123,0.61,0.27723
GradientBoosting,123,0.66,0.13861
KNN,123,0.61,0.26733
