fold,accuracy,precision,recall,f1,auc
1,0.571,0.327,0.571,0.416,0.472
2,0.571,0.327,0.571,0.416,0.519
3,0.571,0.327,0.571,0.416,0.287
4,0.571,0.327,0.571,0.416,0.611
5,0.6,0.36,0.6,0.45,0.479
