params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.674,0.083,1
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.6,0.146,13
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.662,0.075,2
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.625,0.11,7
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.638,0.07,4
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.601,0.093,12
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.602,0.048,11
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.59,0.061,14
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.651,0.088,3
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.576,0.146,16
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.638,0.102,4
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.625,0.133,7
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.626,0.072,6
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.613,0.116,10
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.625,0.086,7
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.577,0.09,15
