params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.625,0.086,2
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.614,0.082,5
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.588,0.114,13
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.624,0.097,3
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.576,0.107,14
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.589,0.093,9
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.612,0.094,6
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.624,0.081,3
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.589,0.108,9
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.626,0.087,1
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.601,0.115,7
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.6,0.113,8
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.565,0.069,15
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.588,0.081,12
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.564,0.083,16
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.589,0.055,9
