outer_fold,model,dataset,accuracy,precision,recall,f1,auc_roc,best_params
1,GradientBoosting,voxel,0.630,0.625,0.625,0.625,0.614,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}"
2,GradientBoosting,voxel,0.407,0.414,0.433,0.386,0.464,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}"
3,GradientBoosting,voxel,0.615,0.613,0.607,0.606,0.509,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}"
4,GradientBoosting,voxel,0.577,0.577,0.577,0.576,0.696,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}"
5,GradientBoosting,voxel,0.615,0.613,0.607,0.606,0.798,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}"
