params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.619,0.1,13
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.619,0.104,13
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.648,0.088,11
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.667,0.085,10
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.695,0.107,5
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.686,0.119,6
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.743,0.111,1
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.733,0.115,3
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.59,0.126,15
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.562,0.114,16
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.686,0.049,6
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.629,0.07,12
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.676,0.097,9
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.676,0.118,8
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.743,0.107,2
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.705,0.082,4
