model,seed,accuracy,pvalue
RandomForest,2023,0.593,0.19802
GradientBoosting,2023,0.587,0.25743
KNN,2023,0.673,0.0495
RandomForest,42,0.593,0.27723
GradientBoosting,42,0.593,0.30693
KNN,42,0.547,0.43564
RandomForest,31415,0.633,0.14851
GradientBoosting,31415,0.553,0.38614
KNN,31415,0.64,0.12871
RandomForest,98765,0.673,0.06931
GradientBoosting,98765,0.633,0.14851
KNN,98765,0.553,0.40594
RandomForest,123,0.593,0.22772
GradientBoosting,123,0.667,0.06931
KNN,123,0.733,0.0198
