model,seed,accuracy,pvalue
RandomForest,98765,0.673,0.0396
GradientBoosting,98765,0.633,0.13861
KNN,98765,0.553,0.40594
RandomForest,98765,0.673,0.0495
GradientBoosting,98765,0.633,0.11881
KNN,98765,0.553,0.40594
RandomForest,98765,0.673,0.07921
GradientBoosting,98765,0.633,0.13861
KNN,98765,0.553,0.40594
RandomForest,98765,0.673,0.0396
GradientBoosting,98765,0.633,0.13861
KNN,98765,0.553,0.40594
