params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.569,0.113,12
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.582,0.113,10
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.546,0.119,15
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.593,0.137,7
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.57,0.07,11
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.594,0.054,4
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.546,0.079,14
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.582,0.06,9
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.593,0.121,7
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.593,0.11,6
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.617,0.1,2
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.629,0.099,1
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.569,0.101,12
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.616,0.129,3
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.522,0.078,16
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.593,0.089,5
