params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.565,0.082,10
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.553,0.086,13
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.576,0.084,8
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.59,0.062,3
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.543,0.09,14
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.555,0.053,11
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.578,0.039,6
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.554,0.066,12
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.589,0.067,5
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.576,0.085,8
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.601,0.076,1
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.59,0.093,3
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.53,0.07,15
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.518,0.089,16
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.591,0.101,2
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.578,0.08,6
