Unnamed: 0,accuracy,accuracy.1,precision,precision.1,recall,recall.1,f1,f1.1,auc_roc,auc_roc.1
GradientBoosting,0.654,0.108,0.650,0.127,0.628,0.118,0.619,0.127,0.688,0.125
KNN,0.617,0.151,0.659,0.204,0.578,0.140,0.564,0.145,0.615,0.113
RandomForest,0.626,0.130,0.648,0.158,0.603,0.111,0.599,0.113,0.659,0.123
