dataset,groups,model,n_perms,true_score,p_value,perm_scores_mean,perm_scores_std
networks,PSPvsCBS,KNN,100,0.645,0.02,0.52,0.061
networks,PSPvsCBS,GradientBoosting,100,0.664,0.01,0.522,0.053
networks,PSPvsCBS,RandomForest,100,0.664,0.02,0.52,0.056
