,accuracy,accuracy,precision,precision,recall,recall,f1,f1,auc_roc,auc_roc
,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,
GradientBoosting,0.654,0.108,0.65,0.127,0.628,0.118,0.619,0.127,0.688,0.125
KNN,0.617,0.151,0.659,0.204,0.578,0.14,0.564,0.145,0.615,0.113
RandomForest,0.626,0.13,0.648,0.158,0.603,0.111,0.599,0.113,0.659,0.123
