dataset,groups,model,n_perms,true_score,p_value,perm_scores_mean,perm_scores_std
networks,PSPvsCBS,RandomForest,1000,0.664,0.01,0.521,0.059
networks,PSPvsCBS,GradientBoosting,1000,0.664,0.007,0.518,0.058
networks,PSPvsCBS,KNN,1000,0.645,0.014,0.517,0.06
