params,mean_test_score,std_test_score,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.565,0.075,15
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.536,0.087,16
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.623,0.031,12
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.642,0.048,9
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.651,0.036,2
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.651,0.026,5
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.651,0.036,2
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.66,0.021,1
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.575,0.047,14
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.584,0.074,13
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.642,0.021,9
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.651,0.026,5
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.642,0.021,9
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.651,0.026,7
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.642,0.048,8
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.651,0.02,2
