model,seed,accuracy,pvalue
RandomForest,42,0.57,0.31683
GradientBoosting,42,0.7,0.0297
KNN,42,0.53,0.45545
RandomForest,42,0.57,0.31683
GradientBoosting,42,0.7,0.0297
KNN,42,0.53,0.45545
RandomForest,42,0.57,0.31683
RandomForest,42,0.57,0.30693
GradientBoosting,42,0.7,0.0297
KNN,42,0.53,0.45545
RandomForest,42,0.57,0.28713
GradientBoosting,42,0.7,0.0198
KNN,42,0.53,0.45545
