fold,accuracy,precision,recall,f1,auc
1,0.571,0.327,0.571,0.416,0.417
2,0.571,0.327,0.571,0.416,0.556
3,0.571,0.327,0.571,0.416,0.315
4,0.571,0.327,0.571,0.416,0.444
5,0.6,0.36,0.6,0.45,0.5
